"Animal","Year","Population_size_1000s","ø_GE_MJ_per_head_per_day","Ym_in_percent","CH4_emission_in_kg_CH4_per_head_per_year","Ch4_emission_in_kt","Weight_kg","Feeding_situation","Milk_yield_kg_per_day","Work_h_per_day","Pregnant_in_percent","Digestibility_of_feed_in_percent"
"Steer stocker",1996,11291.7610421124,132.573861435391,6.49999976158142,56.558294202237,638.642743081152,335.058509640943,"pasture w/stall fed",NA,NA,NA,64.5648951704128
"Bulls",1996,2383.9,221.270038234072,6.49999976158142,94.3976119054345,225.034467021365,873.510447051316,"pasture w/stall fed",NA,NA,NA,62.3453108849743
"Dairy calves",1996,5063.11138705531,22.0327130100059,7.94336580537942,11.486761303653,58.1587519569116,122.176305817523,"stall fed w/ pasture",NA,NA,NA,65.4000043869018
"Beef calves",1996,17941.6104186252,24.8249278284483,6.49999976158142,10.5907420698834,190.014968261992,122.176305817523,"pasture w/stall fed",NA,NA,NA,64.4040816018813
"Cattle",1997,105709.28014629,NA,NA,63.2543324297341,6686.56994728129,NA,NA,NA,NA,NA,NA
"Dairy cows",1997,9317.9,328.250475800892,5.68672089548634,122.515865893418,1141.59058680828,679.774666966005,"stall fed w/ pasture",20.951842038015,NA,0.666,68.4000015258789
"Heifer feedlot",1997,4026.6771014093,161.413512259774,3.59903166374691,37.5841441666113,151.33921269176,397.301148001596,"stall fed",NA,NA,NA,79.3477513776236
"Steer feedlot",1997,7189.67545226744,158.684387038828,3.52868398376793,36.5617029791392,262.866778402211,425.520306159525,"stall fed",NA,NA,NA,79.5726315179588
"Beef replacements",1997,4763.37899710875,149.543739216952,6.49999976158142,63.7979365401293,303.893750974129,390.048753805492,"pasture w/stall fed",NA,NA,NA,64.3711729729083
"Dairy replacements",1997,4022.19953225951,163.72331758536,5.76228127955638,61.9198714920696,249.054078152971,407.661952388817,"stall fed w/ pasture",NA,NA,NA,65.4000043869019
"Beef cows",1997,34457.9,213.482709907657,6.49999976158142,91.0754034265825,3138.26714373284,582.793481145523,"pasture w/stall fed",3.55976140796516,NA,0.6945,62.4139442823766
"Heifer stocker",1997,6360.43557045786,134.796531651605,6.49999976158142,57.5065236242521,365.766538393069,320.84091419586,"pasture w/stall fed",NA,NA,NA,64.6794394491421
"Steer stocker",1997,10657.4852978114,133.664078083467,6.49999976158143,57.0233994142183,607.726040888258,333.790168002298,"pasture w/stall fed",NA,NA,NA,64.5968260952498
"Bulls",1997,2350.4,221.389216561022,6.49999976158142,94.448455433753,221.991649651493,874.190221718282,"pasture w/stall fed",NA,NA,NA,62.3472343516844
"Dairy calves",1997,5026.64527156331,22.1222202207869,7.94318184424555,11.5331588102318,57.9730981996405,122.290133146131,"stall fed w/ pasture",NA,NA,NA,65.4000043869018
"Beef calves",1997,17536.582923412,24.8751380070168,6.49999976158142,10.6121625974344,186.10106938664,122.290133146131,"pasture w/stall fed",NA,NA,NA,64.410030524624
"Cattle",1998,104264.808441053,NA,NA,63.3336767982964,6603.47367924194,NA,NA,NA,NA,NA,NA
"Dairy cows",1998,9199,331.078873266698,5.66390629359295,123.07577637518,1132.17406687528,679.774666966005,"stall fed w/ pasture",21.3420047155437,NA,0.666,68.4000015258789
"Heifer feedlot",1998,4012.09774898264,161.595648672815,3.56232317659805,37.4316749034702,150.179538620863,404.41688780654,"stall fed",NA,NA,NA,79.8635302213177
"Steer feedlot",1998,7238.5605529179,158.988701423172,3.50382536575271,36.4722666135956,264.006710384677,433.708555034761,"stall fed",NA,NA,NA,80.0817761818772
"Beef replacements",1998,4542.59736894541,150.612169849522,6.49999976158142,64.2537474624131,291.87890416764,392.445610326094,"pasture w/stall fed",NA,NA,NA,64.3758984089994
"Dairy replacements",1998,3992.96485538574,163.344655664653,5.74047819599085,61.5429142172126,245.738693567349,406.567415918063,"stall fed w/ pasture",NA,NA,NA,65.4000043869019
"Beef cows",1998,33885,214.505015342259,6.49999976158142,91.5115365444441,3100.86841580849,587.325312258628,"pasture w/stall fed",3.55976140796516,NA,0.6945,62.407561220721
"Heifer stocker",1998,6247.10115949972,136.222900726956,6.49999976158142,58.1150372553045,363.050516621982,321.723483722829,"pasture w/stall fed",NA,NA,NA,64.6804575749057
"Steer stocker",1998,10439.4521885675,134.238197444564,6.49999976158142,57.268328628624,597.849978637691,333.625044917143,"pasture w/stall fed",NA,NA,NA,64.6070306195479
"Bulls",1998,2269.5,222.726052271995,6.49999976158142,95.0187725884519,215.645104389492,880.987968387942,"pasture w/stall fed",NA,NA,NA,62.3383699190804
"Dairy calves",1998,4945.48408698294,22.086459252492,7.94323121236361,11.5145868153545,56.9452058635195,122.24875721421,"stall fed w/ pasture",NA,NA,NA,65.4000043869018
"Beef calves",1998,17493.0504797712,24.8077974335743,6.49999976158142,10.5834339481873,185.136544304965,122.24875721421,"pasture w/stall fed",NA,NA,NA,64.4036100808572
"Cattle",1999,104257.101933663,NA,NA,63.4303554086764,6613.06502953084,NA,NA,NA,NA,NA,NA
"Dairy cows",1999,9128,344.157723295984,5.63936142263005,127.383302800951,1162.75478796708,679.774666966005,"stall fed w/ pasture",22.0601098088878,NA,0.666,67.4000024795532
"Heifer feedlot",1999,4526.82874673527,160.813673314948,3.55993565738886,37.2211955237971,168.493977884979,405.5760698763,"stall fed",NA,NA,NA,80.289593228624
"Steer feedlot",1999,8020.48415870702,158.271252707896,3.50070148949105,36.2471630699576,290.719797200665,435.009023858233,"stall fed",NA,NA,NA,80.5284614666892
"Beef replacements",1999,4412.83504261498,149.996558031536,6.49999976158142,63.9911168507749,282.38224285517,390.558539758124,"pasture w/stall fed",NA,NA,NA,64.3851815936224
"Dairy replacements",1999,4033.54670282965,167.993105048784,5.71730604618304,63.038802381196,254.269953495003,407.57260190011,"stall fed w/ pasture",NA,NA,NA,64.3999993801117
"Beef cows",1999,33750.4,214.093392481806,6.49999976158142,91.3359311378446,3082.62421027471,585.512579813385,"pasture w/stall fed",3.55976140796516,NA,0.6945,62.4185978829284
"Heifer stocker",1999,5944.74235421262,138.340982833192,6.49999976158142,59.018647587024,350.85065399893,321.208645731002,"pasture w/stall fed",NA,NA,NA,64.6840640082575
"Steer stocker",1999,9714.69579063724,135.250615141732,6.49999976158142,57.700243467281,560.540312330338,331.129877956609,"pasture w/stall fed",NA,NA,NA,64.6044634851783
"Bulls",1999,2281.1,222.139370666439,6.49999976158142,94.7684841040489,216.176389089746,878.26886972008,"pasture w/stall fed",NA,NA,NA,62.3518945376956
"Dairy calves",1999,4910.47426657299,22.7403757645526,7.94303326259306,11.8552051558667,58.214679842827,122.309787002391,"stall fed w/ pasture",NA,NA,NA,64.3999993801117
"Beef calves",1999,17533.9948713532,24.8703815206447,6.49999976158142,10.6101333983699,186.038024591391,122.309787002391,"pasture w/stall fed",NA,NA,NA,64.4146594935468
"Cattle",2000,102952.359145949,NA,NA,63.5376237885113,6541.34826355499,NA,NA,NA,NA,NA,NA
"Dairy cows",2000,9182.8,348.888160692803,5.61924639408342,128.673573915076,1181.58369454736,679.774666966005,"stall fed w/ pasture",22.5983456095326,NA,0.666,67.4000024795532
"Heifer feedlot",2000,4701.90566438196,161.01174335937,3.74347619385859,39.1752300843004,184.198236236839,407.323045728459,"stall fed",NA,NA,NA,80.7710846481775
"Steer feedlot",2000,8304.45009687758,158.185874439767,3.69672684245068,38.2300677992289,317.479690238943,435.60746052806,"stall fed",NA,NA,NA,80.9987797000328
"Beef replacements",2000,4410.22570770786,147.582347945344,6.49999976158142,62.9611732190327,277.672984718026,384.938807740033,"pasture w/stall fed",NA,NA,NA,64.395416646351
"Dairy replacements",2000,4008.28472860905,167.630337342993,5.69811205851077,62.6914999309361,251.285381786767,406.537693920965,"stall fed w/ pasture",NA,NA,NA,64.3999993801117
"Beef cows",2000,33575,212.041452117256,6.49999976158142,90.4605380130826,3037.21256378925,576.448917587172,"pasture w/stall fed",3.55976140796516,NA,0.6945,62.4225780953363
"Heifer stocker",2000,5371.04873932997,141.131564977564,6.49999976158142,60.2091580255681,323.386322309346,318.291886685249,"pasture w/stall fed",NA,NA,NA,64.711006360189
"Steer stocker",2000,8723.62356428248,136.651601330609,6.49999976158142,58.2979283214887,508.569181254189,326.254106949464,"pasture w/stall fed",NA,NA,NA,64.6067683768708
"Bulls",2000,2293.1,219.531240613339,6.49999976158142,93.6558108722083,214.762139911061,864.673376380758,"pasture w/stall fed",NA,NA,NA,62.356561354213
"Dairy calves",2000,4951.11776809451,22.817947371688,7.94280147891278,11.8952983187485,58.8950228627404,122.396835189472,"stall fed w/ pasture",NA,NA,NA,64.3999993801117
"Beef calves",2000,17430.8028766654,25.0532554803052,6.49999976158142,10.6881505813985,186.303045900474,122.396835189472,"pasture w/stall fed",NA,NA,NA,64.4185911740202
"Cattle",2001,102163.813848344,NA,NA,63.5939763474273,6497.00316143459,NA,NA,NA,NA,NA,NA
"Dairy cows",2001,9171.7,347.664989582286,5.60103704924276,127.806946812886,1172.20697408375,679.774666966005,"stall fed w/ pasture",22.5554942966378,NA,0.666,67.4000024795532
"Heifer feedlot",2001,4568.91197640721,161.187430795299,3.78238549551766,39.6497113051665,181.156040843264,408.237230480913,"stall fed",NA,NA,NA,80.8850656183962
"Steer feedlot",2001,7931.5383605317,158.43740552247,3.73303011540455,38.6471099959497,306.531035456563,436.639658675138,"stall fed",NA,NA,NA,81.0979983728597
"Beef replacements",2001,4456.07563285209,147.5781357154,6.49999976158142,62.9593762091406,280.551742185119,385.372922840475,"pasture w/stall fed",NA,NA,NA,64.4057432001063
"Dairy replacements",2001,4044.81611384266,167.572984952142,5.67571873015625,62.4237603772017,252.492631860358,407.045159332473,"stall fed w/ pasture",NA,NA,NA,64.3999993801117
"Beef cows",2001,33398.2,211.938986028625,6.49999976158142,90.4168242136669,3019.75917845289,576.448917587172,"pasture w/stall fed",3.55976140796516,NA,0.6945,62.4339659609091
"Heifer stocker",2001,5376.28002673022,140.232032818894,6.49999976158143,59.8254021032196,321.638114418644,320.544517123367,"pasture w/stall fed",NA,NA,NA,64.7265088944545
"Steer stocker",2001,8724.17890776912,136.079983564418,6.49999976158142,58.0540663305846,506.474060991515,328.944131299606,"pasture w/stall fed",NA,NA,NA,64.6181109836587
"Bulls",2001,2274.2,219.502980510902,6.49999976158142,93.6437546254452,212.964626769188,864.673376380758,"pasture w/stall fed",NA,NA,NA,62.3620166644589
"Dairy calves",2001,4710.06486026328,22.872077756434,7.94264233495441,11.9232783030074,56.1594141541346,122.462665260485,"stall fed w/ pasture",NA,NA,NA,64.3999993801117
"Beef calves",2001,17507.8479699482,25.0456008954824,6.49999976158142,10.6848850035861,187.069342219164,122.462665260485,"pasture w/stall fed",NA,NA,NA,64.4300401949116
"Cattle",2002,102092.757209596,NA,NA,63.7201952802424,6505.37042609381,NA,NA,NA,NA,NA,NA
"Dairy cows",2002,9105.6,352.655004460614,5.58495783371606,129.269183503213,1177.07347730686,679.774666966005,"stall fed w/ pasture",23.1095309610244,NA,0.666,67.4000024795532
"Heifer feedlot",2002,4556.99200546113,162.722469619244,3.75963734903007,39.9442918029055,182.025818409647,414.866332712672,"stall fed",NA,NA,NA,80.9378392463863
"Steer feedlot",2002,8116.37469862543,160.23913437029,3.71525889470034,39.0185284273137,316.688996905046,445.195459126524,"stall fed",NA,NA,NA,81.1419421050741
"Beef replacements",2002,4451.43668718693,148.03948736337,6.49999976158142,63.1561967735719,281.135811341075,386.118005363854,"pasture w/stall fed",NA,NA,NA,64.424506691869
"Dairy replacements",2002,4059.62806296164,167.423078293377,5.6614943447147,62.2116122539374,252.556006948172,406.621092989053,"stall fed w/ pasture",NA,NA,NA,64.3999993801117
"Beef cows",2002,33133.7,212.422521639538,6.49999976158142,90.6231088390311,3002.67890133981,578.261650032415,"pasture w/stall fed",3.55976140796516,NA,0.6945,62.4327968586932
"Heifer stocker",2002,5391.40469660243,140.611160884336,6.49999976158142,59.987144670219,323.414973510788,320.812448421247,"pasture w/stall fed",NA,NA,NA,64.7202024431534
