"Animal","Year","Population_size_1000s","Red_in_perc","Ym_org_in_perc","Ym_upd_in_perc","DE_org_in_perc","DE_upd_in_perc","GE_org_in_MJ_per_head_per_day","GE_upd_in_MJ_per_head_per_day","Ch4_emission_org_in_kt_CRT","Ch4_emission_org_in_kt","Ch4_emission_upd_in_kt_Ym","CH4_Ym_in_kt_diff","CH4_emis_upd_in_kt_Ym_DE","CH4_Ym_De_in_kt_diff","CH4_Ym_and_Ym_DE_in_kt_diff"
"Non-dairy cattle",2020,7380.4499999,10,6.48735006,5.838615054,74.03116166,74.679896666,110.9307794,109.679614814786,348.95633432,348.36132664885,313.525193983965,34.836132664885,309.989010235805,38.3723164130454,3.5361837481604
"Cattle",2021,11039.6639999,10,6.3942451731765,5.75482065585885,74.7312539866064,75.3706785039241,194.689385013917,192.605303771122,890.8119418,890.980946386254,801.882851747629,89.0980946386253,793.291743024507,97.689203361747,8.59110872312169
"Dairy cattle",2021,3832.716,10,6.22102716,5.598924444,76.05996401,76.682066726,350.8188432,347.183979894078,547.87954248,548.629738764535,493.766764888082,54.8629738764535,488.6508062383,59.9789325262354,5.11595864978187
"Non-dairy cattle",2021,7206.9479999,10,6.48636398,5.837727582,74.02463474,74.673271138,111.6584165,110.399054295826,342.93239932,342.351207621719,308.116086859547,34.2351207621718,304.640936786207,37.7102708355116,3.47515007333976
"Cattle",2022,10996.961,10,6.40146955896084,5.76132260306476,74.7075198220474,75.3476667779435,193.391569408422,191.316194456356,883.03056537,883.250013450188,794.925012105169,88.3250013450186,786.387719397334,96.8622940528533,8.53729270783469
"Dairy cattle",2022,3809.717,10,6.23749378,5.613744402,76.02396197,76.647711348,347.8038206,344.188038029683,541.29133189,542.081873868262,487.873686481436,54.2081873868262,482.801731926559,59.2801419417037,5.07195455487755
"Non-dairy cattle",2022,7187.244,10,6.48838762,5.839548858,74.00971799,74.658556752,111.5428137,110.283957164476,341.73923348,341.168139581925,307.051325623733,34.1168139581925,303.585987470776,37.5821521111496,3.46533815295714
"Cattle",2023,10836.1959995,10,6.38718533185704,5.74846679867133,74.7152446753725,75.3539632085582,196.862847257799,194.765878244758,880.6499035,880.72335222791,792.651017005119,88.0723352227909,784.197438819613,96.5259134082971,8.45357818550622
"Dairy cattle",2023,3712.815,10,6.17217295,5.554955655,76.19530917,76.812526465,359.4240599,355.739408953248,539.59271606,540.226940492506,486.204246443255,54.0226940492506,481.219903053805,59.0070374387014,4.98434338945088
"Non-dairy cattle",2023,7123.3809995,10,6.49925307,5.849327763,73.94381245,74.593737757,112.1334598,110.864014865642,341.05718744,340.496411735404,306.446770561864,34.0496411735404,302.977535765808,37.5188759695957,3.46923479605533
"Cattle",2024,10461.2850002,10,6.38090990480371,5.74281891432334,74.7202940466204,75.3583850371008,199.57196187945,197.454776113859,859.11922667,859.24399226801,773.319593041209,85.924399226801,765.10321439133,94.1407778766808,8.21637864987974
"Dairy cattle",2024,3589.431,10,6.13742843,5.523685587,76.29516577,76.908908613,365.9821575,362.25893463374,528.14545661,528.809999500509,475.928999550458,52.8809999500509,471.087261510695,57.722737989814,4.84173803976307
"Non-dairy cattle",2024,6871.8540002,10,6.50808955,5.857280595,73.89767858,74.548487535,112.6495804,111.371288964255,330.97377006,330.433992767502,297.390593490751,33.0433992767501,294.015952880635,36.4180398868668,3.37464061011673
"Cattle",1990,19487.996,20,6.54400468665839,5.23520374932671,74.8492987133498,76.1580996506814,147.929176879203,144.605454274217,1266.51419577,1266.65328946283,1013.32263157026,253.330657892565,990.505340412377,276.14794905045,22.8172911578845
"Dairy cattle",1990,6354.555,20,7.02373953,5.618991624,75.52314884,76.927896746,246.6989066,240.946949505178,721.02925979,722.184995601457,577.747996481165,144.436999120291,564.277398928955,157.907596672502,13.4705975522108
"Non-dairy cattle",1990,13133.441,20,6.31188719,5.049509752,74.52325943,75.785636868,100.1398976,97.9910650804497,545.48493598,544.46829386137,435.574635089096,108.893658772274,426.227941483422,118.240352377947,9.34669360567364
"Cattle",1991,17133.7939999,20,6.54380794670198,5.23504635736158,74.8280745478043,76.1368361371447,149.821792950922,146.457996869093,1126.86379634,1126.93794628422,901.55035702738,225.387589256845,881.271411104842,245.666535179382,20.2789459225378
"Dairy cattle",1991,5632.212,20,6.99093935,5.59275148,75.53366136,76.93184923,252.1493283,246.298313089023,650.25241298,651.178479535956,520.942783628765,130.235695907191,508.854533496945,142.323946039011,12.0882501318196
"Non-dairy cattle",1991,11501.5819999,20,6.32485208,5.059881664,74.4825556,75.747526016,99.71300161,97.5671723631617,476.61138336,475.759466748268,380.607573398615,95.1518933496536,372.416877607897,103.342589140372,8.19069579071811
"Cattle",1992,16207.34,20,6.57131694949561,5.25705355959649,74.804216193761,76.1184795836601,154.129600685425,150.66229974293,1098.0631213,1098.09868087108,878.478944696862,219.619736174215,858.689735298307,239.40894557277,19.7892093985549
"Dairy cattle",1992,5365.182,20,6.96225412,5.569803296,75.49665303,76.889103854,258.3893476,252.412871376027,632.17266122,633.047985208681,506.438388166945,126.609597041736,494.724604243962,138.323380964719,11.7137839229822
"Non-dairy cattle",1992,10842.158,20,6.37786385,5.10229108,74.46156765,75.73714042,102.5372408,100.311591386198,465.89046008,465.050695662396,372.040556529917,93.0101391324791,363.965131054344,101.085564608052,8.07542547557279
"Cattle",1993,15896.62,20,6.57750882690442,5.26200706152354,74.7566232354827,76.0721250008636,157.442194290609,153.898986154003,1099.63513565,1099.68111700742,879.744893605934,219.936223401484,859.924534649539,239.756582357879,19.8203589563955
